wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
mrt,Martuthunira,-20.83333333,116.5,AU,23,7.0104
mss,Miwok (Southern Sierra),37.5,-120,US,2698.7,822.56376
mtp,Mixe (Totontepec),17.25,-96,MX,5663.2,1726.14336
mui,Muinane,-1,-72.5,CO,603.7,184.00776
mum,Mumuye,9,11.66666667,NG,1939,591.0072
mun,Mundari,23,84.66666667,IN,1922.6,586.00848
mxc,Mixtec (Chalcatongo),17.05,-97.58333333,MX,8070.9,2460.01032
mxm,Mixtec (Molinos),17,-97.58333333,MX,8497,2589.8856
mya,Ma'ya,-1.25,130.9166667,ID,108.3,33.00984
myi,Mangarrayi,-14.66666667,133.5,AU,344.5,105.0036
mzc,Mazatec (Chiquihuitl?­n),17.75,-96.91666667,MX,3943.9,1202.10072
nai,Nanai,49.5,137,RU,242.8,74.00544
nan,Nandi,0.25,35,KE,6578.1,2005.00488
nap,Neo-Aramaic (Persian Azerbaijan),38,47,IR IL,5374,1637.9952
nar,Nara (in Ethiopia),15.08333333,37.58333333,ER,3303.8,1006.99824
nas,Nasioi,-6.333333333,155.5833333,PG,3835.3,1168.99944
nav,Navajo,36.16666667,-108,US,6237.1,1901.06808
nax,Naxi,27.5,100,CN,11909.4,3629.98512
nbk,Nat?¬gu,-10.78333333,165.8666667,SB,331.4,101.01072
ndt,Ndut,14.91666667,-16.91666667,SN,265.7,80.98536
ndy,Ndyuka,4.5,-54.5,GF SR,259.2,79.00416
nen,Nenets,69,72,RU,49.2,14.99616
nep,Nepali,28,85,NP,6279.5,1913.9916
new,Newari (Kathmandu),27.66666667,85.5,NP,5246.1,1599.01128
nez,Nez Perce,46,-116,US,2206.6,672.57168
nga,Nganasan,71,93,RU,167.3,50.99304
ngi,Ngiyambaa,-31.75,145.5,AU,584,178.0032
ngz,Ngizim,12.08333333,10.91666667,NG,1194.2,363.99216
nhn,Nahuatl (North Puebla),20,-98.25,MX,8153.1,2485.06488
nht,Nahuatl (Tetelcingo),19.66666667,-99,MX,7566.9,2306.39112
nim,Nimboran,-2.5,140.1666667,ID,541.3,164.98824
nis,Nyishi,27.5,93.5,IN,5498.7,1676.00376
niv,Nivkh,53.33333333,142,RU,150.9,45.99432
nko,Nkore-Kiga,-0.916666667,29.83333333,UG,5800.5,1767.9924
nkt,Nyah Kur (Tha Pong),15.66666667,101.6666667,TH,935,284.988
nmb,Nambiku?­ra (Southern),-14,-59.5,BR,1876.6,571.98768
nnc,Nancowry,8.05,93.5,IN,0,0
nob,Nobiin,21,31,EG SD,977.7,298.00296
non,Noni,6.416666667,10.58333333,CM,3960,1207.008
nor,Norwegian,61,8,NO,4954.1,1510.00968
nti,Ngiti,1.333333333,30.25,CD,4921.3,1500.01224
nug,Nunggubuyu,-13.75,135.6666667,AU,164,49.9872
nun,Nung (in Vietnam),21.91666667,106.4166667,VN,1348.4,410.99232
nuu,Nuuchahnulth,49.66666667,-126.6666667,CA,1295.8,394.95984
nyg,Nyangi,3.416666667,33.58333333,UG,5803.8,1768.99824
nyi,Nyimang,12.16666667,29.33333333,SD,2037.4,620.99952
oca,Ocaina,-2.75,-71.75,PE,439.6,133.99008
ogb,Ogbia,4.666666667,6.25,NG,75.5,23.0124
oji,Ojibwa (Eastern),46,-80,CA,754.9,230.09352
ond,Oneida,43,-75.66666667,US,1047.9,319.39992
ood,O'odham,32,-112,MX US,2165.3,659.98344
orh,Oromo (Harar),9,42,ET,4573.5,1394.0028
orm,Ormuri,32.5,69.75,PK,6650.3,2027.01144
otm,Otom?? (Mezquital),20.16666667,-99.16666667,MX,6770,2063.496
pac,Pacoh,16.41666667,107.0833333,VN,2037.4,620.99952
pae,P?­ez,2.666666667,-76,CO,5305.1,1616.99448
pai,Paiwan,22.5,120.8333333,TW,2388.5,728.0148
pau,Paumar??,-6,-64,BR,249.3,75.98664
paw,Pawaian,-7,145.0833333,PG,111.5,33.9852
pec,Pech,15,-85.5,HN,1889.8,576.01104
phl,Phlong,15,99,TH,2667.3,812.99304
pit,Pitjantjatjara,-26,130,AU,2608.3,795.00984
pms,Paamese,-16.5,168.25,VU,0,0
pnr,Panare,6.5,-66,VR,633.2,192.99936
poa,Po-Ai,-20.66666667,164.8333333,NC,1935.7,590.00136
poh,Pohnpeian,6.883333333,158.25,FM,1263.5,385.1148
pol,Polish,52,20,PL,360.9,110.00232
prh,Pirah?œ,-7,-62,BR,196.9,60.01512
prs,Persian,32,54,IR,4025.6,1227.00288
