ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes,Samples_100,Samples_200
acg,Achagua,,4.416666667,-72.25,acha1250,aca,Arawakan,,Inland Northern Arawakan,aca,FALSE,FALSE
ach,Aché,,-25.25,-55.16666667,ache1246,guq,Tupian,,Tupi-Guaraní,guq,FALSE,FALSE
aci,Achí,,15.16666667,-90.5,achi1256,acr,Mayan,,Mayan,acr,FALSE,FALSE
acl,Acholi,,3,32.66666667,acol1236,ach,Eastern Sudanic,,Nilotic,ach,FALSE,FALSE
acm,Achumawi,,41.5,-121,achu1247,acv,Hokan,,Palaihnihan,acv,FALSE,FALSE
acn,Achang,,25,98.5,acha1249,acn,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,acn,FALSE,FALSE
aco,Acoma,,34.91666667,-107.5833333,west2632,kjq,Keresan,,Keresan,kjq,TRUE,TRUE
acu,Achuar,,-2.66667,-76,achu1248,acu,Jivaroan,,Jivaroan,acu,FALSE,FALSE
ada,Adamorobe Sign Language,,5.833333333,-0.166666667,adam1238,ads,other,,Sign Languages,ads,FALSE,FALSE
adg,Adang,,-8.2,124,adan1251,adn,Timor-Alor-Pantar,,Greater Alor,adn,FALSE,FALSE
adi,Adioukrou,,5.416666667,-4.583333333,adio1239,adj,Niger-Congo,,Kwa,adj,FALSE,FALSE
adk,Andoke,,-0.666666667,-72,ando1256,ano,,,,ano,FALSE,FALSE
adn,Adynyamathanha,,-30.5,139.5,adny1235,adt,Pama-Nyungan,,Central Pama-Nyungan,adt,FALSE,FALSE
